id,category,jd
1,information technology,"looking for a python developer with experience in django, flask, and rest apis. 
candidate should have strong knowledge of sql, git, and basic machine learning concepts. 
experience with cloud platforms like aws is a plus."
2,business development,"we are hiring a business development executive to identify new business opportunities, 
build client relationships, and drive revenue growth. 
strong communication, negotiation skills, and experience in sales strategy required."
3,advocate,"seeking an advocate with experience in civil and corporate law. 
candidate should be able to draft legal documents, handle court proceedings, 
and provide legal advice to clients."
4,fitness,"looking for a certified fitness trainer to design personalized workout plans, 
guide clients on exercise techniques, and monitor progress. 
knowledge of nutrition and injury prevention is preferred."
5,sales,"hiring a sales executive responsible for lead generation, client meetings, 
and closing deals. candidate should have experience in b2b sales and crm tools."
6,healthcare,"we are looking for a healthcare professional with experience in patient care, 
medical records management, and clinical procedures. 
knowledge of hospital systems and medical terminology is required."
7,consultant,"seeking a business consultant to analyze organizational performance, 
recommend improvements, and implement strategic solutions. 
strong analytical and problem-solving skills are essential."
8,hr,"looking for an hr manager with experience in recruitment, employee relations, 
payroll management, and performance evaluation. 
strong communication and organizational skills required."
9,designer,"hiring a graphic designer with expertise in adobe photoshop, illustrator, 
and ui/ux design. candidate should be able to create visual content 
for digital and print media."
10,teacher,"we are hiring a teacher to conduct classes, prepare lesson plans, 
and evaluate student performance. 
strong subject knowledge and classroom management skills required."
